category_id,product_id,list_price,avg_price
2,1,17.38,259.27500000000003
2,2,339.97,259.27500000000003
1,3,19.75,266.92333333333335
4,4,359.43,274.7353846153846
5,5,405.67,307.2923529411765
7,6,173.42,310.4375
2,7,50.91,259.27500000000003
5,8,404.53,307.2923529411765
7,9,44.01,310.4375
6,10,290.79,241.53933333333333
5,11,492.68,307.2923529411765
5,12,229.44,307.2923529411765
4,13,336.74,274.7353846153846
3,14,269.4,287.3275
4,15,343.88,274.7353846153846
1,16,403.5,266.92333333333335
6,17,110.25,241.53933333333333
8,18,75.72,197.58499999999998
5,19,374.77,307.2923529411765
4,20,498.68,274.7353846153846
1,21,431.25,266.92333333333335
7,22,300.22,310.4375
5,23,485.68,307.2923529411765
2,24,342.45,259.27500000000003
6,25,60.22,241.53933333333333
5,26,486.08,307.2923529411765
5,27,421.63,307.2923529411765
3,28,271.99,287.3275
6,29,246.86,241.53933333333333
5,30,123.53,307.2923529411765
2,31,367.29,259.27500000000003
3,32,68.55,287.3275
7,33,482.36,310.4375
4,34,357.91,274.7353846153846
8,35,450.31,197.58499999999998
6,36,15.41,241.53933333333333
2,37,355.38,259.27500000000003
6,38,40.07,241.53933333333333
3,39,363.06,287.3275
8,40,404.71,197.58499999999998
6,41,214.67,241.53933333333333
2,42,35.0,259.27500000000003
4,43,99.84,274.7353846153846
5,44,234.0,307.2923529411765
2,45,30.04,259.27500000000003
4,46,87.32,274.7353846153846
1,47,86.5,266.92333333333335
8,48,146.2,197.58499999999998
8,49,81.62,197.58499999999998
1,50,375.25,266.92333333333335
3,51,33.16,287.3275
2,52,339.23,259.27500000000003
4,53,291.56,274.7353846153846
6,54,467.68,241.53933333333333
5,55,200.91,307.2923529411765
2,56,9.61,259.27500000000003
2,57,271.13,259.27500000000003
2,58,440.24,259.27500000000003
5,59,307.78,307.2923529411765
5,60,466.22,307.2923529411765
2,61,445.41,259.27500000000003
4,62,360.22,274.7353846153846
8,63,129.31,197.58499999999998
7,64,415.53,310.4375
5,65,84.98,307.2923529411765
1,66,60.38,266.92333333333335
1,67,418.12,266.92333333333335
1,68,157.59,266.92333333333335
1,69,449.97,266.92333333333335
6,70,391.16,241.53933333333333
3,71,463.25,287.3275
3,72,441.3,287.3275
7,73,402.11,310.4375
3,74,394.75,287.3275
8,75,115.1,197.58499999999998
4,76,115.35,274.7353846153846
2,77,483.61,259.27500000000003
6,78,469.92,241.53933333333333
5,79,23.94,307.2923529411765
6,80,221.01,241.53933333333333
4,81,131.09,274.7353846153846
4,82,185.29,274.7353846153846
6,83,333.38,241.53933333333333
5,84,335.11,307.2923529411765
3,85,99.96,287.3275
3,86,309.68,287.3275
5,87,147.02,307.2923529411765
6,88,235.17,241.53933333333333
3,89,331.13,287.3275
6,90,51.23,241.53933333333333
4,91,404.25,274.7353846153846
2,92,230.43,259.27500000000003
7,93,249.72,310.4375
2,94,390.32,259.27500000000003
8,95,29.86,197.58499999999998
3,96,401.7,287.3275
6,97,475.27,241.53933333333333
7,98,416.13,310.4375
8,99,227.78,197.58499999999998
8,100,315.24,197.58499999999998
